Sigla do Campus - Docente - tecnico_administrativo - estagiario - indefinida
ZL - 65 - 54 - 4 - 0
MO - 205 - 132 - 20 - 0
ZN - 138 - 83 - 10 - 0
MO - 0 - 0 - 0 - 0
JC - 111 - 78 - 10 - 0
MO - 0 - 0 - 0 - 0
JC - 0 - 0 - 0 - 0
RE - 38 - 329 - 58 - 0
CA - 126 - 89 - 0 - 0
SGA - 132 - 85 - 12 - 0
CNAT - 692 - 381 - 42 - 0
PF - 124 - 86 - 5 - 0
SPP - 144 - 71 - 10 - 0
PF - 0 - 0 - 0 - 0
AP - 131 - 94 - 8 - 0
CNAT - 0 - 0 - 0 - 0
SGA - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
RE - 0 - 0 - 0 - 0
CANG - 138 - 73 - 8 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CM - 131 - 70 - 0 - 0
CN - 129 - 96 - 8 - 2
CNAT - 0 - 0 - 0 - 0
PF - 0 - 0 - 0 - 0
JC - 0 - 0 - 0 - 0
NC - 123 - 82 - 12 - 0
PF - 0 - 0 - 0 - 0
RE - 0 - 0 - 0 - 0
ZN - 0 - 0 - 0 - 0
CM - 0 - 0 - 0 - 0
IP - 137 - 94 - 4 - 0
SC - 133 - 88 - 8 - 0
PAAS - 61 - 40 - 0 - 0
IP - 0 - 0 - 0 - 0
SC - 0 - 0 - 0 - 0
PF - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
ZN - 0 - 0 - 0 - 0
AP - 0 - 0 - 0 - 0
CA - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
SPP - 0 - 0 - 0 - 0
JC - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
PF - 0 - 0 - 0 - 0
SPP - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
ZN - 0 - 0 - 0 - 0
PAR - 131 - 96 - 14 - 0
IP - 0 - 0 - 0 - 0
NC - 0 - 0 - 0 - 0
IP - 0 - 0 - 0 - 0
PF - 0 - 0 - 0 - 0
MC - 131 - 70 - 10 - 0
CNAT - 0 - 0 - 0 - 0
CM - 0 - 0 - 0 - 0
IP - 0 - 0 - 0 - 0
CANG - 0 - 0 - 0 - 0
CA - 0 - 0 - 0 - 0
NC - 0 - 0 - 0 - 0
PAR - 0 - 0 - 0 - 0
CM - 0 - 0 - 0 - 0
ZN - 0 - 0 - 0 - 0
RE - 0 - 0 - 0 - 0
ZL - 0 - 0 - 0 - 0
CANG - 0 - 0 - 0 - 0
PAR - 0 - 0 - 0 - 0
CANG - 0 - 0 - 0 - 0
RE - 0 - 0 - 0 - 0
MO - 0 - 0 - 0 - 0
MO - 0 - 0 - 0 - 0
MC - 0 - 0 - 0 - 0
CA - 0 - 0 - 0 - 0
CA - 0 - 0 - 0 - 0
AP - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
PAR - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
NC - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
MC - 0 - 0 - 0 - 0
MO - 0 - 0 - 0 - 0
MO - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
ZN - 0 - 0 - 0 - 0
SC - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
LAJ - 68 - 39 - 2 - 0
CNAT - 0 - 0 - 0 - 0
JUC - 21 - 4 - 0 - 0
MO - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
RE - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
SPP - 0 - 0 - 0 - 0
CANG - 0 - 0 - 0 - 0
CM - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
SPP - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
SGA - 0 - 0 - 0 - 0
PF - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CN - 0 - 0 - 0 - 0
CNAT - 0 - 0 - 0 - 0
CM - 0 - 0 - 0 - 0
PAR - 0 - 0 - 0 - 0
RE - 0 - 0 - 0 - 0
CN - 0 - 0 - 0 - 0
ZN - 0 - 0 - 0 - 0
PAR - 0 - 0 - 0 - 0
JC - 0 - 0 - 0 - 0
MO - 0 - 0 - 0 - 0
MC - 0 - 0 - 0 - 0
